"state","year","avg_days_to_contain"
AZ,1994,0.6252518468770987
AZ,1995,0.477921498661909
AZ,1996,0.7629252611840343
AZ,1997,0.7604306864064603
AZ,1998,0.5453519006398193
AZ,1999,0.6033421284080914
AZ,2000,0.827090200779143
AZ,2001,0.6120178041543026
AZ,2002,0.6414225941422594
AZ,2003,0.8465227817745803
AZ,2004,1.121212121212121
AZ,2005,1.001357312521208
AZ,2006,1.3436251362150382
AZ,2007,1.2297583721916066
AZ,2008,1.5499199145755473
AZ,2009,3.3603960396039603
AZ,2010,2.739280774550484
AZ,2011,2.7075621364357483
AZ,2012,1.9971081550028917
AZ,2013,2.0198634388578522
AZ,2014,1.1592605758976182
AZ,2015,0.7113459399332592
CA,1992,0.44612384202827887
CA,1993,0.30920245398773005
CA,1994,0.5741222366710013
CA,1995,0.4057045551298425
CA,1996,0.5246730083234245
CA,1997,0.44788213627992635
CA,1998,0.3059295330850759
CA,1999,0.6310407058351715
CA,2000,0.4494204425711275
CA,2001,0.4916462463800401
CA,2002,0.47897817988291647
CA,2003,0.8666353604132425
CA,2004,0.4251343742001536
CA,2005,0.6122391426959954
CA,2006,1.1391992551210428
CA,2007,0.5733120255693168
CA,2008,3.758722152164775
CA,2009,0.8117218341937443
CA,2010,1.1015415549597856
CA,2011,1.1861167002012072
CA,2012,1.1000406669377796
CA,2013,0.537325565641512
CA,2014,0.7250900360144058
CA,2015,1.1143961028053082
CO,1992,0.3865921787709497
CO,1993,0.4131812420785805
CO,1994,0.7140139505389981
CO,1995,0.5257611241217799
CO,1996,0.6605839416058394
CO,1997,0.6367521367521367
CO,1998,0.6859060402684564
CO,1999,0.8394062078272605
CO,2000,0.7674563591022444
CO,2001,1.656525220176141
CO,2002,1.908786610878661
CO,2003,1.3469894475481068
CO,2004,1.6
CO,2005,1.8821138211382114
CO,2006,1.0869565217391304
CO,2007,1.8030018761726079
CO,2008,2.012135922330097
CO,2009,3.373684210526316
CO,2010,0.9256055363321799
CO,2011,2.4868282402528976
CO,2012,2.242258652094718
CO,2013,0.6115830115830115
CO,2014,1.8480801335559265
CO,2015,2.3586337760910814
CT,1993,3.0
CT,2002,2.0
CT,2007,0.0
CT,2008,1.0
CT,2010,0.0
CT,2011,0.004405286343612335
CT,2012,0.0
CT,2015,1.5
DC,1992,0.0
DC,1993,0.0
DC,1994,0.0
DC,1995,0.0
DC,1997,0.0
DC,1998,0.0
DC,1999,0.14285714285714285
DC,2001,0.0
DC,2002,0.0
DC,2005,0.0
DC,2006,0.0
DC,2007,0.0
DC,2008,0.0
DC,2009,0.0
DC,2010,0.0
DC,2011,0.0
DC,2012,0.0
DC,2013,0.0
DC,2014,0.0
DC,2015,0.0
DE,1992,0.0
DE,1994,0.0
DE,1995,0.0
DE,1997,0.2
DE,1999,0.0
DE,2000,6.0
DE,2001,0.0
DE,2002,0.0
DE,2004,3.0
DE,2005,0.0
DE,2007,0.5
DE,2012,0.0
DE,2013,0.0
DE,2014,0.0
DE,2015,0.1875
FL,1992,0.45955882352941174
FL,1993,0.45182724252491696
FL,1994,0.4805194805194805
FL,1995,1.0182926829268293
FL,1996,0.5913461538461539
FL,1997,0.28804347826086957
FL,1998,2.970414201183432
FL,1999,0.7846715328467153
FL,2000,0.7209302325581395
FL,2001,0.8859934853420195
FL,2002,0.3798076923076923
FL,2003,0.528169014084507
FL,2004,1.0588235294117647
FL,2005,0.5562913907284768
FL,2006,2.073369565217391
FL,2007,3.0806845965770173
FL,2008,2.3495934959349594
FL,2009,2.1538461538461537
FL,2010,0.5392826643894107
FL,2011,0.946812749003984
FL,2012,0.8660194174757282
FL,2013,0.6483975847654435
FL,2014,0.3046948356807512
FL,2015,0.7158145065398336
GA,1992,0.0441610946975587
GA,1993,0.056757950530035337
GA,1994,0.059137326627038564
GA,1995,0.037574076409027865
GA,1996,0.03708219038910901
GA,1997,0.05620316402997502
GA,1998,0.12616201859229748
GA,1999,0.7764705882352941
GA,2000,0.013224241271049377
GA,2001,0.02532440351611553
GA,2002,0.015390534821085032
GA,2003,1.0606060606060606
GA,2004,1.4929577464788732
GA,2005,0.06976744186046512
GA,2006,1.4022988505747127
GA,2007,2.1640625
GA,2008,1.2459016393442623
GA,2009,0.30952380952380953
GA,2010,0.42424242424242425
GA,2011,0.06860064201640709
GA,2012,0.046694966646452396
GA,2013,0.021558361564521098
GA,2014,0.037466107961547944
GA,2015,0.07547974413646055
HI,1992,9.0
HI,1993,0.0
HI,1994,16.428571428571427
HI,1995,0.6666666666666666
HI,1996,1.3333333333333333
HI,1997,4.181818181818182
HI,1998,0.5714285714285714
HI,1999,0.0
HI,2000,2.2
HI,2001,0.0
HI,2002,25.5
HI,2003,18.857142857142858
HI,2004,2.5
HI,2005,1.25
HI,2007,2.3333333333333335
HI,2008,1.0
HI,2009,17.0
HI,2010,0.8888888888888888
HI,2011,14.0
HI,2012,4.0
HI,2013,0.25
HI,2014,0.0
HI,2015,9.666666666666666
IA,1992,0.0
IA,1993,0.0
IA,1994,0.0
IA,1995,0.0
IA,1996,0.0
IA,1997,0.0
IA,1998,0.0
IA,1999,0.0
IA,2000,0.0
IA,2001,0.0
IA,2002,0.0
IA,2003,0.21875
IA,2004,0.02702702702702703
IA,2005,0.0
IA,2006,0.0
IA,2007,0.0
IA,2008,0.0
IA,2009,0.0
IA,2010,0.005025125628140704
IA,2011,0.004555808656036446
IA,2012,0.015283842794759825
IA,2013,0.0
IA,2014,0.0
IA,2015,0.009708737864077669
ID,1992,3.0347776510832385
ID,1993,1.3353293413173652
ID,1994,2.4409667194928684
ID,1995,2.10210970464135
ID,1996,2.6590636254501803
ID,1997,2.6766666666666667
ID,1998,3.376933895921238
ID,1999,4.658393207054213
ID,2000,6.864569083447332
ID,2001,1.8795093795093796
ID,2002,2.9836321122369447
ID,2003,8.288475304223336
ID,2004,2.9695652173913043
ID,2005,8.548356807511738
ID,2006,7.258620689655173
ID,2007,7.618238021638331
ID,2008,5.154043645699615
ID,2009,5.7936507936507935
ID,2010,6.616016427104722
ID,2011,3.7807692307692307
ID,2012,5.823628691983123
ID,2013,4.3996913580246915
ID,2014,4.066666666666666
ID,2015,4.436123348017621
IL,1992,0.125
IL,1993,5.8
IL,1994,0.12
IL,1995,0.3617021276595745
IL,1996,0.1
IL,1997,0.0
IL,1998,0.0
IL,1999,0.1111111111111111
IL,2000,0.896551724137931
IL,2001,0.4117647058823529
IL,2002,0.16666666666666666
IL,2003,0.23076923076923078
IL,2004,0.05555555555555555
IL,2005,0.32142857142857145
IL,2006,0.08695652173913043
IL,2007,0.21212121212121213
IL,2008,0.010256410256410256
IL,2009,0.13043478260869565
IL,2010,0.11185682326621924
IL,2011,0.06716417910447761
IL,2012,0.2839506172839506
IL,2013,1.1951219512195121
IL,2014,0.017777777777777778
IL,2015,0.33980582524271846
IN,1992,0.02197802197802198
IN,1993,0.08695652173913043
IN,1994,0.06097560975609756
IN,1995,0.02
IN,1996,0.022727272727272728
IN,1997,0.027777777777777776
IN,1998,0.08928571428571429
IN,1999,0.06
IN,2000,0.05434782608695652
IN,2001,0.04
IN,2002,0.056338028169014086
IN,2003,0.08333333333333333
IN,2004,0.06349206349206349
IN,2005,0.0
IN,2006,0.17857142857142858
IN,2007,0.17073170731707318
IN,2008,0.0
IN,2009,0.022222222222222223
IN,2010,0.2777777777777778
IN,2011,0.19230769230769232
IN,2012,0.22807017543859648
IN,2013,0.1
IN,2014,0.08333333333333333
IN,2015,0.2857142857142857
KS,1992,0.0
KS,1993,0.0
KS,1994,0.037037037037037035
KS,1995,0.0
KS,1996,0.0625
KS,1997,0.0
KS,1998,0.3
KS,1999,0.11764705882352941
KS,2000,0.07692307692307693
KS,2001,1.0
KS,2002,0.5
KS,2003,0.32142857142857145
KS,2004,0.16666666666666666
KS,2005,0.2711864406779661
KS,2006,0.6808510638297872
KS,2007,0.41379310344827586
KS,2008,0.21052631578947367
KS,2009,2.0142857142857142
KS,2010,0.475
KS,2011,0.7454545454545455
KS,2012,3.3114754098360657
KS,2013,1.2857142857142858
KS,2014,4.666666666666667
KS,2015,0.016874041247656384
KY,1992,0.7959183673469388
KY,1993,0.5185185185185185
KY,1994,1.9157303370786516
KY,1995,1.7262569832402235
KY,1996,0.6111111111111112
KY,1997,0.8974358974358975
KY,1998,1.4166666666666667
KY,1999,2.0416666666666665
KY,2000,1.853846153846154
KY,2001,2.9423076923076925
KY,2002,0.14736842105263157
KY,2003,0.8529411764705882
KY,2004,1.0163934426229508
KY,2005,0.8695652173913043
KY,2006,1.0105263157894737
KY,2007,0.39500240269101394
KY,2008,0.30518234165067176
KY,2009,0.3093727977448908
KY,2010,0.18890633176347463
KY,2011,0.06019417475728155
KY,2012,1.280701754385965
KY,2013,0.3862487360970677
KY,2014,1.285097192224622
KY,2015,0.3870094722598105
LA,1992,0.125
LA,1993,0.09411764705882353
LA,1994,0.2
LA,1995,0.15254237288135594
LA,1996,0.10852713178294573
LA,1997,0.36923076923076925
LA,1998,0.23809523809523808
LA,1999,0.17272727272727273
LA,2000,0.19791666666666666
LA,2001,0.19148936170212766
LA,2002,0.04838709677419355
LA,2003,1.075268817204301
LA,2004,1.0384615384615385
LA,2005,0.738255033557047
LA,2006,0.6271186440677966
LA,2007,0.6721311475409836
LA,2008,0.5909090909090909
LA,2009,1.5081967213114753
LA,2010,0.6274509803921569
LA,2011,0.7641509433962265
LA,2012,0.37333333333333335
LA,2013,0.37254901960784315
LA,2014,1.105263157894737
LA,2015,0.02966507177033493
MA,1992,0.0
MA,1993,0.0
MA,1994,0.0
MA,1995,0.0
MA,1996,0.3333333333333333
MA,1997,0.0
MA,1998,0.0
MA,1999,0.0
MA,2000,0.0
MA,2001,0.2
MA,2002,3.0
MA,2003,0.0
MA,2004,0.16666666666666666
MA,2005,0.5
MA,2006,0.0
MA,2007,0.0
MA,2008,3.0
MA,2009,0.0
MA,2010,1.3333333333333333
MA,2012,0.0
MA,2013,0.0
MA,2014,0.0
MA,2015,0.012529002320185615
MD,1992,0.0
MD,1993,0.0
MD,1994,0.125
MD,1995,0.09375
MD,1996,0.0
MD,1997,0.2222222222222222
MD,1998,0.2
MD,1999,0.11538461538461539
MD,2000,0.0
MD,2001,0.06666666666666667
MD,2002,0.1111111111111111
MD,2003,0.0
MD,2004,0.17647058823529413
MD,2005,0.058823529411764705
MD,2006,0.15
MD,2007,1.4
MD,2008,0.0
MD,2009,0.45454545454545453
MD,2010,0.6666666666666666
MD,2011,0.3228346456692913
MD,2012,0.03614457831325301
MD,2013,0.136
MD,2014,0.041666666666666664
MD,2015,0.053691275167785234
ME,1992,0.0845771144278607
ME,1993,0.42572741194486985
ME,1994,0.30185185185185187
ME,1995,0.10334029227557412
ME,1996,0.031746031746031744
ME,1997,0.01733102253032929
ME,1998,0.008787346221441126
ME,1999,0.019174041297935103
ME,2000,0.0469208211143695
ME,2001,0.1826722338204593
ME,2002,0.4576271186440678
ME,2003,0.3333333333333333
ME,2004,0.0962800875273523
ME,2005,0.0
ME,2006,0.0805921052631579
ME,2007,0.6666666666666666
ME,2008,0.12189616252821671
ME,2009,0.0
ME,2010,0.3333333333333333
ME,2011,0.09090909090909091
ME,2012,0.023214285714285715
ME,2013,0.01583710407239819
ME,2014,0.02702702702702703
ME,2015,0.04477611940298507
MI,1992,0.9576547231270358
MI,1993,0.5961538461538461
MI,1994,0.7663551401869159
MI,1995,1.0320512820512822
MI,1996,0.8403141361256544
MI,1997,0.05128205128205128
MI,1998,0.25443786982248523
MI,1999,0.2602739726027397
MI,2000,0.11607142857142858
MI,2001,0.0971563981042654
MI,2002,0.6547231270358306
MI,2003,0.625
MI,2004,0.13186813186813187
MI,2005,0.8582089552238806
MI,2006,0.05451127819548872
MI,2007,0.123046875
MI,2008,0.016129032258064516
MI,2009,0.19879518072289157
MI,2010,0.21524663677130046
MI,2011,0.14705882352941177
MI,2012,0.26019690576652604
MI,2013,0.2945054945054945
MI,2014,0.3371212121212121
MI,2015,0.16085271317829458
MN,1992,0.05592105263157895
MN,1993,0.04504504504504504
MN,1994,0.04938271604938271
MN,1995,0.5085910652920962
MN,1996,0.148068669527897
MN,1997,0.13333333333333333
MN,1998,0.3918269230769231
MN,1999,0.08868894601542417
MN,2000,0.05377720870678617
MN,2001,0.18981481481481483
MN,2002,0.23529411764705882
MN,2003,0.07208872458410351
MN,2004,0.18592964824120603
MN,2005,0.20967741935483872
MN,2006,0.6981818181818182
MN,2007,0.26405451448040884
MN,2008,0.2619589977220957
MN,2009,0.0630841121495327
MN,2010,0.16602809706257982
MN,2011,0.27591836734693875
MN,2012,0.18481123792800702
MN,2013,0.10502692998204669
MN,2014,0.09471585244267199
MN,2015,0.1048607318405243
MO,1992,0.10062893081761007
MO,1993,0.008849557522123894
MO,1994,0.20095693779904306
MO,1995,0.10778443113772455
MO,1996,0.13186813186813187
MO,1997,0.07377049180327869
MO,1998,0.11864406779661017
MO,1999,0.09411764705882353
MO,2000,0.1702127659574468
MO,2001,0.2768595041322314
MO,2002,0.16521739130434782
MO,2003,0.11920529801324503
MO,2004,0.13612565445026178
MO,2005,0.22594142259414227
MO,2006,0.45701357466063347
MO,2007,0.7365269461077845
MO,2008,0.32857142857142857
MO,2009,0.19574468085106383
MO,2010,0.21428571428571427
MO,2011,0.12567567567567567
MO,2012,0.5844748858447488
MO,2013,0.09443099273607748
MO,2014,0.15667466027178256
MO,2015,0.12649800266311584
MS,1992,0.01703653889262497
MS,1993,0.00825619214410808
MS,1994,0.011097780443911218
MS,1995,0.013303769401330377
MS,1996,0.026111791105671155
MS,1997,0.027066041140382534
MS,1998,0.023767605633802816
MS,1999,0.03126156122826489
MS,2000,0.8741007194244604
MS,2001,1.0275229357798166
MS,2002,0.7777777777777778
MS,2003,0.5930232558139535
MS,2004,0.6029411764705882
MS,2005,0.8866995073891626
MS,2006,1.5420560747663552
MS,2007,0.8418604651162791
MS,2008,1.2953020134228188
MS,2009,1.5491803278688525
MS,2010,1.3009708737864079
MS,2011,2.7521008403361344
MS,2012,0.07142857142857142
MS,2013,0.07599193006052454
MS,2014,0.05855855855855856
MS,2015,0.13320555821753713
MT,1992,0.9132052076875388
MT,1993,0.6865671641791045
MT,1994,2.0837589376915218
MT,1995,0.9285024154589372
MT,1996,1.285933503836317
MT,1997,0.9435318275154004
MT,1998,1.6310160427807487
MT,1999,1.0116618075801749
MT,2000,4.6217616580310885
MT,2001,0.8638824439288476
MT,2002,1.2209391839876829
MT,2003,3.0923694779116464
MT,2004,0.7329450915141431
MT,2005,1.82109375
MT,2006,2.1249389946315276
MT,2007,2.3092063492063493
MT,2008,1.7304277643260695
MT,2009,1.5527426160337552
MT,2010,2.229378531073446
MT,2011,2.6124684077506317
MT,2012,2.1907077255537546
MT,2013,2.5545722713864305
MT,2014,2.069397993311037
MT,2015,2.343266475644699
NC,1992,0.3360655737704918
NC,1993,0.544
NC,1994,0.3106060606060606
NC,1995,1.0854700854700854
NC,1996,0.30927835051546393
NC,1997,0.8968253968253969
NC,1998,0.696
NC,1999,0.6634615384615384
NC,2000,0.5833333333333334
NC,2001,0.5150375939849624
NC,2002,0.5
NC,2003,0.22077922077922077
NC,2004,0.34285714285714286
NC,2005,0.22807017543859648
NC,2006,0.18518518518518517
NC,2007,0.8811881188118812
NC,2008,1.06
NC,2009,0.42953020134228187
NC,2010,0.12603982858583312
NC,2011,0.11345158906134516
NC,2012,0.07120743034055728
NC,2013,0.029783393501805054
NC,2014,0.02619515389652914
NC,2015,0.04085843995047462
ND,1992,0.04810126582278481
ND,1993,0.018421052631578946
ND,1994,0.030181086519114688
ND,1995,0.051470588235294115
ND,1996,0.015533980582524271
ND,1997,0.01805869074492099
ND,1998,0.04612159329140461
ND,1999,0.06331877729257641
ND,2000,0.17694805194805194
ND,2001,0.18679245283018867
ND,2002,0.14365256124721604
ND,2003,0.10784313725490197
ND,2004,0.29739776951672864
ND,2005,0.06548431105047749
ND,2006,0.12774070543374644
ND,2007,0.08108108108108109
ND,2008,0.21696801112656466
ND,2009,0.11463414634146342
ND,2010,0.14285714285714285
ND,2011,0.05865102639296188
ND,2012,0.10515021459227468
ND,2013,0.08224299065420561
ND,2014,0.10059171597633136
ND,2015,0.11624441132637854
NE,1992,0.0
NE,1993,0.07142857142857142
NE,1994,0.08450704225352113
NE,1995,0.1276595744680851
NE,1996,0.08928571428571429
NE,1997,0.10638297872340426
NE,1998,0.28205128205128205
NE,1999,0.04838709677419355
NE,2000,1.6216216216216217
NE,2001,0.10526315789473684
NE,2002,0.10734463276836158
NE,2003,0.056962025316455694
NE,2004,0.03636363636363636
NE,2005,0.03977272727272727
NE,2006,0.6218487394957983
NE,2007,0.3157894736842105
NE,2008,0.3125
NE,2009,0.2
NE,2010,0.10526315789473684
NE,2011,0.030193236714975844
NE,2012,0.2557565789473684
NE,2013,0.05463182897862233
NE,2014,0.0912863070539419
NE,2015,0.031825795644891124
NH,1993,0.5
NH,1994,0.6666666666666666
NH,1995,0.6428571428571429
NH,1996,0.875
NH,1997,0.0
NH,1998,0.2
NH,1999,0.4
NH,2000,0.25
NH,2001,0.5294117647058824
NH,2002,0.6666666666666666
NH,2003,0.5
NH,2004,0.6666666666666666
NH,2005,0.0
NH,2006,0.25
NH,2007,2.5
NH,2008,7.0
NH,2009,0.0
NH,2010,0.3333333333333333
NH,2011,3.0
NH,2012,0.8
NH,2013,0.0
NH,2014,1.0
NH,2015,0.0
NJ,1992,0.0
NJ,1993,0.2222222222222222
NJ,1994,0.0
NJ,1995,0.0
NJ,1996,0.3333333333333333
NJ,1997,0.0
NJ,1998,0.0
NJ,1999,1.4444444444444444
NJ,2000,2.0
NJ,2001,0.42857142857142855
NJ,2002,0.0
NJ,2003,0.0
NJ,2004,0.0
NJ,2005,0.8
NJ,2006,0.4166666666666667
NJ,2007,2.090909090909091
NJ,2008,0.07692307692307693
NJ,2009,0.125
NJ,2010,3.5
NJ,2011,0.0
NJ,2012,5.66928361138371
NJ,2013,5.663953488372093
NJ,2014,5.781841109709962
NJ,2015,5.409921671018277
NM,1992,1.991812865497076
NM,1993,1.8607085346215781
NM,1994,1.8615288220551378
NM,1995,1.8212341197822142
NM,1996,1.9395604395604396
NM,1997,1.4078014184397163
NM,1998,1.0472255017709564
NM,1999,0.5875232774674115
NM,2000,1.731813246471227
NM,2001,1.656456953642384
NM,2002,1.0711053652230123
NM,2003,1.5917076598735067
NM,2004,1.71960569550931
NM,2005,2.5170863309352516
NM,2006,1.2746365105008077
NM,2007,3.159263271939328
NM,2008,1.9186320754716981
NM,2009,1.90648988136776
NM,2010,2.1276315789473683
NM,2011,1.6553171641791045
NM,2012,1.995697074010327
NM,2013,2.6050185873605947
NM,2014,1.854710556186152
NM,2015,1.4144542772861357
NV,1992,0.4550359712230216
NV,1993,0.3804100227790433
NV,1994,0.5621468926553672
NV,1995,0.49907235621521334
NV,1996,0.7258509659613616
NV,1997,0.5789473684210527
NV,1998,0.45511811023622045
NV,1999,0.8065134099616859
NV,2000,1.2487100103199174
NV,2001,1.2658227848101267
NV,2002,1.2325581395348837
NV,2003,1.1238670694864048
NV,2004,0.944372574385511
NV,2005,1.0403225806451613
NV,2006,1.3638968481375358
NV,2007,1.9110473457675754
NV,2008,1.4741573033707864
NV,2009,0.9735449735449735
NV,2010,0.9252873563218391
NV,2011,1.3551532033426184
NV,2012,1.211031175059952
NV,2013,1.0828220858895705
NV,2014,0.9407407407407408
NV,2015,0.4367816091954023
NY,1992,0.0
NY,1993,0.014705882352941176
NY,1994,0.3333333333333333
NY,1995,0.37662337662337664
NY,1996,0.0
NY,1997,0.0
NY,1998,0.0
NY,1999,0.11290322580645161
NY,2000,0.07950310559006211
NY,2001,0.08182154757497223
NY,2002,0.0946372239747634
NY,2003,0.048252911813643926
NY,2004,0.08823529411764706
NY,2005,0.05607231756845277
NY,2006,0.04457246816252274
NY,2007,0.09654954099398544
NY,2008,0.040548098434004476
NY,2009,0.05970149253731343
NY,2010,0.6415094339622641
NY,2011,0.05910671302487296
NY,2012,0.10411376333164042
NY,2013,0.11203607353451266
NY,2014,41.19658622719247
NY,2015,0.08200068050357265
OH,1992,0.0
OH,1993,0.0
OH,1994,0.0
OH,1995,0.02127659574468085
OH,1996,0.0
OH,1997,0.09090909090909091
OH,1998,0.07407407407407407
OH,1999,0.1
OH,2000,0.03571428571428571
OH,2001,0.20930232558139536
OH,2002,1.28125
OH,2003,0.2222222222222222
OH,2004,0.0
OH,2005,0.56
OH,2006,0.24509803921568626
OH,2007,0.43209876543209874
OH,2008,0.26666666666666666
OH,2009,0.8275862068965517
OH,2010,0.6779661016949152
OH,2011,0.6329113924050633
OH,2012,0.2903225806451613
OH,2013,0.7241379310344828
OH,2014,1.441860465116279
OH,2015,0.0
OK,1992,0.038173142467621
OK,1993,0.047473867595818814
OK,1994,0.0644316396018858
OK,1995,0.061946902654867256
OK,1996,0.0578790141896938
OK,1997,0.03205128205128205
OK,1998,0.2789115646258503
OK,1999,0.11450381679389313
OK,2000,0.4817708333333333
OK,2001,0.06976744186046512
OK,2002,0.5150375939849624
OK,2003,0.1606153846153846
OK,2004,0.1328125
OK,2005,0.27529182879377434
OK,2006,0.2971460548405148
OK,2007,0.2
OK,2008,0.44072727272727275
OK,2009,0.23846908734052993
OK,2010,0.30233644859813086
OK,2011,0.3862204724409449
OK,2012,0.35233474833232264
OK,2013,0.23484848484848486
OK,2014,0.7925347222222222
